"date","obs_chl_ugl","fcast_chl_ugl"
2021-05-17,20.0682303575071,21.4996726902333
2021-05-18,21.7523703957015,27.5278868504061
2021-05-19,26.2871687429472,25.6919840622249
2021-05-20,24.054395930857,26.5260620912475
2021-05-21,26.2087307277335,25.4627184187395
2021-05-22,21.9884850725497,25.724265970106
2021-05-23,21.6650278923724,24.0468579917155
2021-05-24,23.8595470398477,22.2342564943439
2021-05-25,32.0252095543897,20.6205615280082
2021-05-26,20.5994781642015,27.1879949142772
2021-05-27,27.2907197040711,24.8087558094288
2021-05-28,25.805462160235,22.3233050759929
2021-05-29,40.4310779404187,36.3775563477057
2021-05-30,30.993488695588,35.5063676316512
2021-05-31,28.0193490394916,39.8288340491377
2021-06-01,33.7676848393783,31.2990417588257
2021-06-02,30.8572646942161,28.0324052843909
2021-06-03,27.9791497569808,29.7152010643136
2021-06-04,31.476247917679,24.6503976905315
2021-06-05,30.0081109118586,28.9181177011802
2021-06-06,28.5564688914351,27.3089495227892
2021-06-07,32.803009354393,21.8389717956774
2021-06-08,29.8060156767756,28.9214187896768
2021-06-09,18.2290513479914,26.0773402096861
2021-06-10,16.105472754231,32.0788366989551
2021-06-11,21.4904863525805,25.8253518777484
2021-06-12,26.7808858642651,30.0070417441329
2021-06-13,25.1791363879082,28.5134654557183
2021-06-14,26.15913930916,23.5473032265568
2021-06-15,25.5545141511053,29.3469183010115
2021-06-16,25.9788684744571,22.671133017254
2021-06-17,20.3281058540794,23.5147921581781
2021-06-18,25.6372663402155,25.0399080298615
2021-06-19,29.9514070800658,23.3532850519113
2021-06-20,14.4722030428195,27.9139934084967
